Paid_USD,Purchase_Date,Purchase_ID,Purchase_Note,Supplier_ID,TimeSaved,Total_USD,Username,isPaid
$269.80,2025-11-18 00:00:00,84,,22,2025-11-18 08:51:54,$269.80,Unknown,True
$0.00,2025-11-18 00:00:00,85,,1,2025-11-18 23:09:06,$35.00,Unknown,True
$0.00,2025-11-20 00:00:00,86,,1,2025-11-20 21:56:20,$333.00,Unknown,True
$0.00,2025-11-20 00:00:00,87,,1,2025-11-20 21:58:30,$72.00,Unknown,True
$490.00,2025-11-21 00:00:00,88,,7,2025-11-21 21:36:22,$490.00,Unknown,True
$636.41,2025-11-21 00:00:00,89,,25,2025-11-22 00:10:45,$636.41,Unknown,True
$830.00,2025-11-22 00:00:00,90,,26,2025-11-22 23:48:33,$830.00,Unknown,True
$84.98,2025-11-25 00:00:00,91,,24,2025-11-25 21:38:04,$84.98,Unknown,True
$29.88,2025-11-26 00:00:00,92,,24,2025-11-26 15:28:10,$29.88,Unknown,True
$50.00,2025-11-28 00:00:00,93,,27,2025-11-28 20:29:10,$50.00,Unknown,True
$183.00,2025-11-29 00:00:00,94,,1,2025-11-29 22:54:31,$183.00,Unknown,True
$297.00,2025-12-04 00:00:00,95,,6,2025-12-04 09:21:22,$297.00,Unknown,True
$255.00,2025-12-05 00:00:00,96,,28,2025-12-05 17:36:43,$255.00,Unknown,True
$622.00,2025-12-06 00:00:00,97,,7,2025-12-06 15:42:01,$622.00,Unknown,True
$230.00,2025-12-06 00:00:00,98,,29,2025-12-06 15:42:34,$230.00,Unknown,True
$75.00,2025-12-09 00:00:00,99,,4,2025-12-09 21:25:27,$75.00,Unknown,True
"$1,227.00",2025-12-09 00:00:00,100,,2,2025-12-09 22:11:20,"$1,227.00",Unknown,True
$387.00,2025-12-12 00:00:00,101,,7,2025-12-12 17:56:05,$387.00,Unknown,True
$0.00,2025-12-12 00:00:00,102,,2,2025-12-12 18:01:36,$157.00,Unknown,True
$44.00,2025-12-15 00:00:00,103,,31,2025-12-15 13:35:29,$44.00,Unknown,True
$77.50,2025-12-16 00:00:00,104,,1,2025-12-16 21:32:23,$77.50,Unknown,True
$0.00,2025-12-16 00:00:00,105,,30,2025-12-16 21:39:08,$83.33,Unknown,True
$32.00,2025-12-16 00:00:00,106,,31,2025-12-16 21:45:13,$32.00,Unknown,True
$0.00,2025-12-18 00:00:00,107,,5,2025-12-18 12:59:36,$15.54,Unknown,True
$280.00,2025-12-18 00:00:00,108,,7,2025-12-18 22:04:44,$280.00,Unknown,True
$77.00,2025-12-18 00:00:00,109,,32,2025-12-18 22:11:34,$77.00,Unknown,True
$174.50,2025-12-18 00:00:00,110,,24,2025-12-18 22:32:23,$174.50,Unknown,True
$451.00,2025-12-20 00:00:00,111,,25,2025-12-20 18:42:06,$451.00,Unknown,True
"$1,773.30",2025-12-20 00:00:00,112,,26,2025-12-21 00:13:07,"$1,774.80",Unknown,True
$246.00,2025-12-20 00:00:00,113,,6,2025-12-20 23:20:29,$246.00,Unknown,True
"$5,609.00",2025-12-22 00:00:00,114,,2,2025-12-22 20:58:37,"$5,609.00",Unknown,True
$665.00,2025-12-23 00:00:00,115,,33,2025-12-23 17:54:01,$665.00,Unknown,True
"$1,288.00",2025-12-23 00:00:00,116,,2,2025-12-23 20:38:00,"$1,288.00",Unknown,True
"$1,115.00",2025-12-26 00:00:00,117,,2,2025-12-26 19:51:44,"$1,115.00",Unknown,True
"$1,015.00",2025-12-31 00:00:00,118,,2,2025-12-31 14:23:01,"$1,015.00",Unknown,True
$0.00,2025-12-31 00:00:00,119,,30,2025-12-31 14:26:05,$15.54,Unknown,True
$324.00,2026-01-08 00:00:00,120,,6,2026-01-08 18:43:21,$324.00,Unknown,True
$0.00,2026-01-13 00:00:00,121,,30,2026-01-13 20:03:56,$159.34,Unknown,True
$85.00,2026-01-20 00:00:00,122,,10,2026-01-20 01:38:30,$85.00,Unknown,True
$553.40,2026-01-20 00:00:00,123,,26,2026-01-20 01:50:32,$553.40,Unknown,True
$0.00,2026-01-24 00:00:00,124,,30,2026-01-24 15:10:23,$15.54,Unknown,True
$68.00,2026-01-24 00:00:00,125,,32,2026-01-24 15:12:45,$68.00,Unknown,True
$69.00,2026-01-24 00:00:00,126,,6,2026-01-24 15:16:29,$69.00,Unknown,True
$15.54,2026-01-29 00:00:00,127,,5,2026-01-29 14:18:20,$15.54,Unknown,True
$36.00,2026-01-29 00:00:00,128,,4,2026-01-29 14:22:23,$36.00,Unknown,True
$150.00,2026-01-31 00:00:00,129,,30,2026-01-31 19:25:31,$150.00,Unknown,True
$15.54,2026-02-03 00:00:00,130,,5,2026-02-03 12:47:31,$15.54,Unknown,True
$193.60,2026-02-05 00:00:00,131,,6,2026-02-05 16:52:20,$193.60,Unknown,True
$608.00,2026-02-07 00:00:00,132,,26,2026-02-07 03:54:29,$608.00,Unknown,True
$54.00,2026-02-18 00:00:00,133,,34,2026-02-18 18:06:07,$54.00,Unknown,True
$228.00,2026-02-23 00:00:00,134,,6,2026-02-23 17:13:59,$228.00,Unknown,True
$0.00,2026-02-23 00:00:00,135,,30,2026-02-23 17:19:01,$177.77,Unknown,True
$0.00,2026-02-23 00:00:00,136,,5,2026-02-23 17:19:47,$15.54,Unknown,True
