Detail_ID,Discount,Discount_Amount,ExistedQuantity,P_ID,Product_Category,Product_Description,PurchaseCurrency,Purchase_ID,Qty,SerialNumber,Total,Total_Cost,Unit_Cost
482,0.,$0.00,0,1628,Accessories,Green Lion 5in1 RPM 2000 Hair Styler 2,USD,90,1,,$19.00,$19.00,$19.00
483,0.,$0.00,0,1629,Accessories,Green Lion Dryer Bristol,USD,90,2,,$23.00,$23.00,$11.50
484,0.,$0.00,0,1630,Accessories,Iphone 17pro ipefet anti shock case,USD,90,8,,$44.00,$44.00,$5.50
485,0.,$0.00,0,1631,Accessories,Iphone 17pro max ipefet anti shock case,USD,90,6,,$33.00,$33.00,$5.50
486,0.,$0.00,0,1632,Accessories, Green Lion Triana Travel Pouch,USD,90,1,,$14.00,$14.00,$14.00
487,0.,$0.00,0,1634,Accessories,Green Lion Dynamic Duo watch and earbuds pro 2,USD,90,2,,$42.00,$42.00,$21.00
488,0.,$0.00,0,1635,Accessories,Air Blower Lithium 48V,USD,90,1,,$12.00,$12.00,$12.00
489,0.,$0.00,0,1636,Accessories,Green Lion Duo Cast Wirless Microphone lighting black,USD,90,2,,$36.00,$36.00,$18.00
490,0.,$0.00,0,1637,Accessories,Porodo Orion Lavalier Microphone type-c & lightning 70MAH,USD,90,1,,$22.00,$22.00,$22.00
491,0.,$0.00,0,1638,Accessories,Porodo Movo Lavalier Microphone type-c 5h working time,USD,90,1,,$21.00,$21.00,$21.00
492,0.,$0.00,0,1639,Accessories,Porodo  Lavalier Microphone Type-c Connwctor With Lighting Adapter,USD,90,1,,$19.00,$19.00,$19.00
493,0.,$0.00,0,1640,Accessories,Green Lion Earbuds pro 3,USD,90,2,,$24.00,$24.00,$12.00
494,0.,$0.00,0,1641,Accessories,Green Lion pro2 with active noise cancellation,USD,90,2,,$26.00,$26.00,$13.00
495,0.,$0.00,0,1642,Accessories,Green Lion Kitty beats earbuds,USD,90,1,,$11.00,$11.00,$11.00
496,0.,$0.00,0,1643,Accessories,Green Lion shadow beats earbuds,USD,90,1,,$11.00,$11.00,$11.00
497,0.,$0.00,0,1644,Accessories,Green Lion Earbuds pro2 2nd generation,USD,90,1,,$10.00,$10.00,$10.00
498,0.,$0.00,0,1645,Accessories,Green Lion Earbuds 4,USD,90,1,,$10.00,$10.00,$10.00
499,0.,$0.00,0,1646,Accessories,DIY Instant Digital Camera for kids,USD,90,4,,$58.00,$58.00,$14.50
500,0.,$0.00,1,568,Accessories,Mini UPS for Router SKE 10800,USD,90,2,,$20.00,$20.00,$10.00
501,0.,$0.00,0,1648,Accessories,Green Lion Projector,USD,90,1,,$65.00,$65.00,$65.00
502,0.,$0.00,0,1649,Accessories,Green Lion Priston Speaker,USD,90,1,,$12.00,$12.00,$12.00
503,0.,$0.00,0,1650,Accessories,Green Lion porto Speaker,USD,90,1,,$12.00,$12.00,$12.00
504,0.,$0.00,0,1652,Accessories,Hoco Speaker Riding Portable Speaker,USD,90,2,,$14.00,$14.00,$7.00
505,0.,$0.00,0,1651,Accessories,Hoco Speaker BS47,USD,90,2,,$14.00,$14.00,$7.00
506,0.,$0.00,0,1653,Accessories,XO-CZ001A Car Vacuum Cleaner,USD,90,2,,$18.00,$18.00,$9.00
507,0.,$0.00,0,1654,Accessories,Porodo Scooter 250w,USD,90,1,,$220.00,$220.00,$220.00
508,0.,$0.00,0,1633,Accessories,Green Lion Moon Charge 4in1 wireless charger,USD,90,1,,$20.00,$20.00,$20.00
509,0.,$0.00,0,1659,Accessories,Hoco comfoprtable wireless headphones W35,USD,91,3,,$34.98,$34.98,$11.66
510,0.,$0.00,0,1656,Accessories,Hoco smart finder android,USD,91,2,,$10.00,$10.00,$5.00
511,0.,$0.00,0,1657,Accessories,Hoco smart finder apple,USD,91,2,,$12.00,$12.00,$6.00
512,0.,$0.00,0,1658,Accessories,Hoco Watch Y33,USD,91,2,,$28.00,$28.00,$14.00
513,0.,$0.00,0,1661,Accessories,Christmas bag,USD,92,36,,$29.88,$29.88,$0.83
514,0.,$0.00,6,920,Accessories,Terea Sun Pearl,USD,93,10,,$25.00,$25.00,$2.50
515,0.,$0.00,2,921,Accessories,Terea Oasis Pearl,USD,93,10,,$25.00,$25.00,$2.50
516,0.,$0.00,1,195,Accessories,Electric Scooter for Kids,USD,94,1,,$145.00,$145.00,$145.00
517,0.,$0.00,0,1197,Accessories,MoXom Power Bank 10000 mah PD20 + Wireless 15w MX-PB111,USD,94,2,,$38.00,$38.00,$19.00
518,0.,$0.00,0,917,Accessories,Terea Turquoise,USD,95,40,,$100.00,$100.00,$2.50
519,0.,$0.00,0,918,Accessories,Terea Silver,USD,95,40,,$98.00,$98.00,$2.45
520,0.,$0.00,5,922,Accessories,Terea Purple,USD,95,20,,$50.00,$50.00,$2.50
521,0.,$0.00,9,921,Accessories,Terea Oasis Pearl,USD,95,10,,$25.00,$25.00,$2.50
522,0.,$0.00,15,920,Accessories,Terea Sun Pearl,USD,95,10,,$24.00,$24.00,$2.40
523,0.,$0.00,0,1674,Accessories,Hoco - Power Bank - 10000mah - J132,USD,96,2,,$20.00,$20.00,$10.00
524,0.,$0.00,0,1675,Accessories,Hoco - Power Bank - 15000mah - J144,USD,96,1,,$10.00,$10.00,$10.00
525,0.,$0.00,0,1677,Accessories,Hoco - Power Bank - 30000mah - J123B,USD,96,1,,$17.00,$17.00,$17.00
526,0.,$0.00,0,1671,Accessories,Hoco - Power Bank - 10000 mah - Q38,USD,96,1,,$12.00,$12.00,$12.00
527,0.,$0.00,0,1673,Accessories,Hoco - Magnetic Power Bank - 10000mah - Q44,USD,96,1,,$16.00,$16.00,$16.00
528,0.,$0.00,0,1669,Accessories,Hoco Children Care - Kids Watch - Y101,USD,96,1,,$34.00,$34.00,$34.00
529,0.,$0.00,0,1670,Accessories,Hoco Children Care - Kids Watch - Y104,USD,96,1,,$30.00,$30.00,$30.00
530,0.,$0.00,0,1678,Accessories,Hoco - Portable Smart Air Pump - S53,USD,96,1,,$23.00,$23.00,$23.00
531,0.,$0.00,0,1679,Accessories,Hoco - Colorful Led - Bluetooth Speaker - HC29,USD,96,1,,$16.00,$16.00,$16.00
532,0.,$0.00,0,1680,Accessories,Hoco - Magnetic Light - Bluetooth Speaker - BS64,USD,96,1,,$12.00,$12.00,$12.00
533,0.,$0.00,0,1672,Accessories,Hoco - Jump Starter - Air Pump - Light - 10000 mah - QS4,USD,96,1,,$55.00,$55.00,$55.00
534,0.,$0.00,0,1676,Accessories,Hoco - Power Bank - Dual Lighting - 10000mah - J151,USD,96,1,,$10.00,$10.00,$10.00
535,0.,$0.00,0,417,Accessories,PS5 1Terra,USD,97,1,,$490.00,$490.00,$490.00
536,0.,$0.00,0,418,Accessories,PS5 DualSense Controller Original,USD,97,2,,$132.00,$132.00,$66.00
537,0.,$0.00,0,1682,Accessories,Tablet Teclast M50,USD,98,2,,$230.00,$230.00,$115.00
538,0.,$0.00,1,593,Accessories,Kingston Data Traveler Exodia Onyx 256 GB USB 3.2,USD,99,2,,$51.00,$51.00,$25.50
539,0.,$0.00,1,592,Accessories,Kingston Data Traveler Exodia Onyx 128 GB USB 3.2,USD,99,3,,$24.00,$24.00,$8.00
540,0.,$0.00,0,444,Accessories,Samsung Galaxy A16 SM-A165F 4gb | 128gb,USD,100,2,,$246.00,$246.00,$123.00
541,0.,$0.00,0,767,Accessories,Samsung Galaxy A36 SM-A366B/DS 8gb | 256gb,USD,100,2,,$572.00,$572.00,$286.00
542,0.,$0.00,0,1332,Accessories,Samsung Galaxy A07SM-A07F 6gb | 128gb,USD,100,1,,$110.00,$110.00,$110.00
543,0.,$0.00,0,1684,Accessories,Samsung Galaxy A17 SM-A175F 4gb | 128gb New,USD,100,1,,$143.00,$143.00,$143.00
544,0.,$0.00,0,1685,Accessories,Samsung Galaxy A17 SM-A175F 6gb | 128gb,USD,100,1,,$156.00,$156.00,$156.00
545,0.,$0.00,0,1690,Accessories,Sony VR2,USD,101,1,,$387.00,$387.00,$387.00
546,0.,$0.00,1,1685,Accessories,Samsung Galaxy A17 SM-A175F 6gb | 128gb,USD,102,1,,$157.00,$157.00,$157.00
547,0.,$0.00,0,1691,Accessories,FC26 PS5,USD,103,1,,$44.00,$44.00,$44.00
548,0.,$0.00,0,1692,Accessories,VR HOCO DGA10VR GLASSES,USD,104,1,,$20.00,$20.00,$20.00
549,0.,$0.00,0,1697,Accessories,Hoco adapter usb-c single port fast charger set n70,USD,104,3,,$15.00,$15.00,$5.00
550,0.,$0.00,0,1696,Accessories,Hoco charger dual-port output 30w n63,USD,104,3,,$13.50,$13.50,$4.50
551,0.,$0.00,0,1695,Accessories,Hoco Car charger 30w nz16,USD,104,3,,$9.75,$9.75,$3.25
552,0.,$0.00,0,1693,Accessories,XO-SS20 AUTO FACE TRACKING,USD,104,1,,$12.50,$12.50,$12.50
553,0.,$0.00,0,1694,Accessories,HOCO ADAPTER QC3.0 // C140A,USD,104,3,,$6.75,$6.75,$2.25
554,0.,$0.00,0,1686,Accessories,"Tabe3 mebele 20,000LBP",USD,105,45,,"$900,000.00",$9.90,$0.22
555,0.,$0.00,0,1688,Accessories,"Tabe3 Mele 100,000LBP",USD,105,35,,"$3,500,000.00",$38.85,$1.11
556,0.,$0.00,0,1689,Accessories,"Tabe3 Mele 200,000LBP",USD,105,8,,"$1,600,000.00",$17.76,$2.22
557,0.,$0.00,0,1687,Accessories,"Tabe3 mebele 50,000LBP",USD,105,30,,"$1,500,000.00",$16.80,$0.56
558,0.,$0.00,0,1698,Accessories,Minecraft ps5 gaming CD,USD,106,1,,$32.00,$32.00,$32.00
